available,available_for_checkin,date,max_nights,min_nights,listing_id,local_price,local_currency,month,ts
True,True,2018-08-29,1125,1,23930139,175,USD,2018-08,2018-08-24 23:14:47.038061
True,True,2018-08-30,1125,1,23930139,180,USD,2018-08,2018-08-24 23:14:47.038061
True,True,2018-08-31,1125,1,23930139,192,USD,2018-08,2018-08-24 23:14:47.038061
True,True,2018-09-01,1125,1,23930139,202,USD,2018-09,2018-08-24 23:14:47.038061
True,True,2018-09-02,1125,1,23930139,179,USD,2018-09,2018-08-24 23:14:47.038061
True,True,2018-09-03,1125,1,23930139,173,USD,2018-09,2018-08-24 23:14:47.038061
True,True,2018-09-04,1125,2,23930139,185,USD,2018-09,2018-08-24 23:14:47.038061
True,False,2018-09-05,1125,2,23930139,193,USD,2018-09,2018-08-24 23:14:47.038061
False,False,2018-09-06,1125,2,23930139,189,USD,2018-09,2018-08-24 23:14:47.038061
False,False,2018-09-07,1125,2,23930139,191,USD,2018-09,2018-08-24 23:14:47.038061
False,False,2018-09-08,1125,2,23930139,226,USD,2018-09,2018-08-24 23:14:47.038061
False,False,2018-09-09,1125,2,23930139,215,USD,2018-09,2018-08-24 23:14:47.038061
False,False,2018-09-10,1125,2,23930139,242,USD,2018-09,2018-08-24 23:14:47.038061
False,False,2018-09-11,1125,2,23930139,252,USD,2018-09,2018-08-24 23:14:47.038061
False,False,2018-09-12,1125,2,23930139,269,USD,2018-09,2018-08-24 23:14:47.038061
False,False,2018-09-13,1125,2,23930139,232,USD,2018-09,2018-08-24 23:14:47.038061
False,False,2018-09-14,1125,2,23930139,221,USD,2018-09,2018-08-24 23:14:47.038061
False,False,2018-09-15,1125,2,23930139,201,USD,2018-09,2018-08-24 23:14:47.038061
False,False,2018-09-16,1125,2,23930139,196,USD,2018-09,2018-08-24 23:14:47.038061
False,False,2018-09-17,1125,2,23930139,231,USD,2018-09,2018-08-24 23:14:47.038061
False,False,2018-09-18,1125,2,23930139,231,USD,2018-09,2018-08-24 23:14:47.038061
False,False,2018-09-19,1125,2,23930139,231,USD,2018-09,2018-08-24 23:14:47.038061
False,False,2018-09-20,1125,2,23930139,226,USD,2018-09,2018-08-24 23:14:47.038061
False,False,2018-09-21,1125,2,23930139,220,USD,2018-09,2018-08-24 23:14:47.038061
False,False,2018-09-22,1125,2,23930139,215,USD,2018-09,2018-08-24 23:14:47.038061
False,False,2018-09-23,1125,5,23930139,194,USD,2018-09,2018-08-24 23:14:47.038061
False,False,2018-09-24,1125,5,23930139,215,USD,2018-09,2018-08-24 23:14:47.038061
False,False,2018-09-25,1125,5,23930139,239,USD,2018-09,2018-08-24 23:14:47.038061
False,False,2018-09-26,1125,5,23930139,254,USD,2018-09,2018-08-24 23:14:47.038061
False,False,2018-09-27,1125,5,23930139,257,USD,2018-09,2018-08-24 23:14:47.038061
False,False,2018-09-28,1125,5,23930139,214,USD,2018-09,2018-08-24 23:14:47.038061
False,False,2018-09-29,1125,5,23930139,201,USD,2018-09,2018-08-24 23:14:47.038061
False,False,2018-09-30,1125,5,23930139,184,USD,2018-09,2018-08-24 23:14:47.038061
False,False,2018-10-01,1125,5,23930139,199,USD,2018-10,2018-08-24 23:14:47.038061
False,False,2018-10-02,1125,5,23930139,210,USD,2018-10,2018-08-24 23:14:47.038061
False,False,2018-10-03,1125,5,23930139,212,USD,2018-10,2018-08-24 23:14:47.038061
False,False,2018-10-04,1125,5,23930139,218,USD,2018-10,2018-08-24 23:14:47.038061
False,False,2018-10-05,1125,5,23930139,232,USD,2018-10,2018-08-24 23:14:47.038061
False,False,2018-10-06,1125,5,23930139,252,USD,2018-10,2018-08-24 23:14:47.038061
False,False,2018-10-07,1125,5,23930139,212,USD,2018-10,2018-08-24 23:14:47.038061
False,False,2018-10-08,1125,5,23930139,214,USD,2018-10,2018-08-24 23:14:47.038061
False,False,2018-10-09,1125,5,23930139,224,USD,2018-10,2018-08-24 23:14:47.038061
False,False,2018-10-10,1125,5,23930139,210,USD,2018-10,2018-08-24 23:14:47.038061
False,False,2018-10-11,1125,5,23930139,196,USD,2018-10,2018-08-24 23:14:47.038061
False,False,2018-10-12,1125,5,23930139,203,USD,2018-10,2018-08-24 23:14:47.038061
False,False,2018-10-13,1125,5,23930139,198,USD,2018-10,2018-08-24 23:14:47.038061
False,False,2018-10-14,1125,5,23930139,187,USD,2018-10,2018-08-24 23:14:47.038061
False,False,2018-10-15,1125,5,23930139,187,USD,2018-10,2018-08-24 23:14:47.038061
False,False,2018-10-16,1125,5,23930139,195,USD,2018-10,2018-08-24 23:14:47.038061
False,False,2018-10-17,1125,5,23930139,195,USD,2018-10,2018-08-24 23:14:47.038061
True,True,2018-10-18,1125,5,23930139,180,USD,2018-10,2018-08-24 23:14:47.038061
True,True,2018-10-19,1125,5,23930139,199,USD,2018-10,2018-08-24 23:14:47.038061
True,True,2018-10-20,1125,5,23930139,194,USD,2018-10,2018-08-24 23:14:47.038061
True,True,2018-10-21,1125,5,23930139,182,USD,2018-10,2018-08-24 23:14:47.038061
True,True,2018-10-22,1125,5,23930139,189,USD,2018-10,2018-08-24 23:14:47.038061
True,True,2018-10-23,1125,5,23930139,186,USD,2018-10,2018-08-24 23:14:47.038061
True,True,2018-10-24,1125,5,23930139,204,USD,2018-10,2018-08-24 23:14:47.038061
True,True,2018-10-25,1125,5,23930139,254,USD,2018-10,2018-08-24 23:14:47.038061
True,True,2018-10-26,1125,5,23930139,264,USD,2018-10,2018-08-24 23:14:47.038061
True,True,2018-10-27,1125,5,23930139,284,USD,2018-10,2018-08-24 23:14:47.038061
True,True,2018-10-28,1125,5,23930139,205,USD,2018-10,2018-08-24 23:14:47.038061
True,True,2018-10-29,1125,5,23930139,187,USD,2018-10,2018-08-24 23:14:47.038061
True,True,2018-10-30,1125,5,23930139,192,USD,2018-10,2018-08-24 23:14:47.038061
True,True,2018-10-31,1125,5,23930139,191,USD,2018-10,2018-08-24 23:14:47.038061
True,True,2018-11-01,1125,5,23930139,171,USD,2018-11,2018-08-24 23:14:47.038061
True,True,2018-11-02,1125,5,23930139,176,USD,2018-11,2018-08-24 23:14:47.038061
True,True,2018-11-03,1125,5,23930139,176,USD,2018-11,2018-08-24 23:14:47.038061
True,True,2018-11-04,1125,5,23930139,168,USD,2018-11,2018-08-24 23:14:47.038061
True,True,2018-11-05,1125,5,23930139,183,USD,2018-11,2018-08-24 23:14:47.038061
True,True,2018-11-06,1125,5,23930139,181,USD,2018-11,2018-08-24 23:14:47.038061
True,True,2018-11-07,1125,5,23930139,190,USD,2018-11,2018-08-24 23:14:47.038061
True,True,2018-11-08,1125,5,23930139,181,USD,2018-11,2018-08-24 23:14:47.038061
